name,description,search_query,answer,query,response_time,follow_up_questions,result1_title,result1_url,result1_content,result1_rawcontent,result1_score,result2_title,result2_url,result2_content,result2_rawcontent,result2_score,result3_title,result3_url,result3_content,result3_rawcontent,result3_score,result4_title,result4_url,result4_content,result4_rawcontent,result4_score,result5_title,result5_url,result5_content,result5_rawcontent,result5_score
Stance & Motion Series,A series of drills focusing on the fundamental stances and movements essential in wrestling.,How to perform drills focusing on the fundamental stances and movements in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penetration Step Series,Drills designed to improve the penetration step a crucial element in executing successful takedowns.,What are the best drills to improve the penetration step for successful takedowns in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offensive Tie-Up Positions,Techniques and strategies for gaining control in tie-up situations to set up offensive moves.,How to gain control in tie-up situations for setting up offensive moves in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are the Basic Takedowns,An overview of foundational takedown techniques every wrestler should master.,What are the foundational takedown techniques every wrestler should master?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting Angles on Takedowns,Strategies for creating angles to effectively execute takedowns against an opponent.,What strategies are effective for creating angles in wrestling takedowns?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handfighting Series,Drills that focus on handfighting skills crucial for controlling the opponent and setting up attacks.,What drills enhance handfighting skills to control opponents and set up attacks in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Leg Series,A set of moves and techniques centered around the double leg takedown a powerful and common wrestling maneuver.,How to master the double leg takedown in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single Leg Series,Focuses on the single leg takedown and its variations an essential technique in wrestling.,What are the key variations and techniques of the single leg takedown in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Crotch Finishing High Series,Techniques and drills for executing the high crotch takedown and finishing while staying on the feet.,How to execute and finish a high crotch takedown while on feet in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firemans Carry Series,A series of moves and counters based on the firemans carry a classic wrestling maneuver.,What are the effective moves and counters for a fireman's carry in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Crotch Crackdown Finish on Mat,Techniques for finishing a high crotch takedown on the mat focusing on control and positioning.,How to finish a high crotch takedown on the mat with proper control and positioning?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian 2 on 1 Series,A series of techniques and setups based on the Russian tie also known as the 2-on-1 arm tie.,What are the techniques and setups for a Russian tie (2-on-1 arm tie) in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Front Headlock on Mat Finish,Techniques for effectively using a front headlock to control an opponent on the mat.,How to control an opponent with a front headlock on the mat in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duck Under Series,Drills and techniques for the duck under move used to gain advantage by slipping under an opponent's arms.,What are the best drills and techniques for the duck under move in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm Drag,A technique for pulling and redirecting an opponent's arm to gain a positional advantage.,How to perform an arm drag to gain a positional advantage in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desperation Down by 1 or 2 Series,Strategies and moves to use when trailing by a small margin focusing on scoring quick points.,What strategies and moves are effective when trailing by a small margin in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desperation Down by 3 or More Series,Techniques and strategies for situations where a significant comeback is needed.,What techniques and strategies are needed for a significant comeback in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turning Basic Takedowns into 4 Point Moves,Advanced techniques for converting simple takedowns into high-scoring opportunities.,How to convert basic takedowns into high-scoring moves in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transition From Takedown to Ankle Lace,Techniques for smoothly transitioning from a takedown to an ankle lace for ground control.,What techniques are best for transitioning from a takedown to an ankle lace in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firemans Carry to Turn,A combination technique involving a firemans carry followed by a turning maneuver.,How to perform a fireman's carry followed by a turn in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firemans Carry to Turn,A combination technique involving a fireman's carry followed by a turning maneuver.,How to perform a fireman's carry followed by a turn in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm Throw From Knees,Technique focusing on executing an arm throw while on the knees useful in specific grappling situations.,How to execute an arm throw from the knees in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm Throw Standing,Techniques and drills for performing an arm throw from a standing position.,What are the best techniques and drills for performing an arm throw from a standing position in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Point Throws,Advanced throwing techniques designed to score maximum points through amplitude and control.,How to perform 5 point throws in wrestling for maximum points?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beating the Tripod,Strategies and moves to counter an opponent's tripod stance often used in defensive situations.,What are effective strategies to counter a tripod stance in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set-Ups,Techniques for setting up takedowns throws and other offensive moves through positioning and movement.,What techniques are best for setting up takedowns and throws in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Single Leg Series,A series of techniques focusing on the high single leg takedown and its variations.,How to master the high single leg takedown and its variations in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underhook Series,Techniques involving the use of underhooks for control and setup for various moves.,What are the key techniques for using underhooks for control and setup in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outside Step Arm Drag Series,Drills and techniques for executing an arm drag combined with an outside step.,How to perform an arm drag with an outside step in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearing Ties Series,Strategies for breaking free from an opponent's grip and tie-ups to regain control.,What strategies help in breaking free from grips and tie-ups in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
